Parameters:
  nodes               (unsigned)          1
Options:
  -l, --minblocksize  (bytes)             128
  -u, --maxblocksize  (bytes)             2048
nsteps: 4
Nodes, Procs, Round, NBytes, Blocksize, Algo, Rank, Ttotal, Tmerge, Tcomm
blocksize: 128
1, 12, 1, 18432, 128, AlltoAll, 0, 4.36455e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 1, 4.07919e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 2, 4.65214e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 3, 3.69474e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 4, 4.1768e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 5, 4.071e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 6, 4.26695e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 7, 4.07174e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 8, 4.26769e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 9, 3.98159e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 10, 4.07919e-05, 0, 0
1, 12, 1, 18432, 128, AlltoAll, 11, 3.78489e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 0, 3.84077e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 1, 2.98247e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 2, 3.8065e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 3, 3.45036e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 4, 3.87654e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 5, 3.39448e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 6, 3.54797e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 7, 3.75062e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 8, 3.39448e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 9, 3.14191e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 10, 3.27528e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 11, 3.20524e-05, 0, 0
